From	To	Species	Gene Name
LATS1_HUMAN	806905	Homo sapiens	LATS, large tumor suppressor, homolog 1 (Drosophila)
MC4R_HUMAN	821763	Homo sapiens	melanocortin 4 receptor
MCHR1_RAT	396865	Rattus norvegicus	melanin-concentrating hormone receptor 1
NPY4R_HUMAN	819543	Homo sapiens	pancreatic polypeptide receptor 1
PPCE_FLAME	6930574	Elizabethkingia meningoseptica	Prolyl endopeptidase
LYAG_BOVIN	593400	Bos taurus	glucosidase, alpha; acid
PGH2_SHEEP	567572	Ovis aries	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
NMDE1_HUMAN	791998	Homo sapiens	glutamate receptor, ionotropic, N-methyl D-aspartate 2A
PTN13_HUMAN	778507	Homo sapiens	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)
TRPV1_RAT	386626	Rattus norvegicus	transient receptor potential cation channel, subfamily V, member 1
THB_RAT	401906	Rattus norvegicus	thyroid hormone receptor beta
SC6A1_HUMAN	807603	Homo sapiens	solute carrier family 6 (neurotransmitter transporter, GABA), member 1
TPP2_RAT	389753	Rattus norvegicus	tripeptidyl peptidase II
RNAS1_BOVIN	585955	Bos taurus	ribonuclease
PPARD_HUMAN	787829	Homo sapiens	peroxisome proliferator-activated receptor delta
O69638_MYCTU	4103288	Mycobacterium tuberculosis	MT3771
O69638_MYCTU	4110788	Mycobacterium tuberculosis	MRA_3705; Rv3670
PDE7A_HUMAN	796113	Homo sapiens	phosphodiesterase 7A
Q8DNV6_STRR6	4589735	Streptococcus pneumoniae	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
REST_BORBU	5795611	Borrelia burgdorferi	Telomere resolvase resT
NCOR2_HUMAN	823979	Homo sapiens	nuclear receptor co-repressor 2
TRPV4_MOUSE	425638	Mus musculus	transient receptor potential cation channel, subfamily V, member 4
UREA_CANEN	6842200	Canavalia ensiformis	Urease
NR1I3_MOUSE	479822	Mus musculus	nuclear receptor subfamily 1, group I, member 3
VGFR3_HUMAN	816558	Homo sapiens	fms-related tyrosine kinase 4
KPCD_MOUSE	477464	Mus musculus	protein kinase C, delta
KCC1A_HUMAN	779346	Homo sapiens	calcium/calmodulin-dependent protein kinase I
SRC_CHICK	1209087	Gallus gallus	v-src sarcoma viral oncogene
V1AR_HUMAN	816475	Homo sapiens	arginine vasopressin receptor 1A
UPAR_HUMAN	816149	Homo sapiens	plasminogen activator, urokinase receptor
MP2K1_MOUSE	480599	Mus musculus	mitogen-activated protein kinase kinase 1
S6A11_MOUSE	444242	Mus musculus	solute carrier family 6 (neurotransmitter transporter, GABA), member 11
SIRT1_HUMAN	808496	Homo sapiens	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)
NMDE4_RAT	385800	Rattus norvegicus	glutamate receptor, ionotropic, N-methyl D-aspartate 2D
TBA1A_HUMAN	811901	Homo sapiens	tubulin, alpha 1a
NMDE2_HUMAN	795660	Homo sapiens	glutamate receptor, ionotropic, N-methyl D-aspartate 2B
SCNAA_HUMAN	790897	Homo sapiens	sodium channel, voltage-gated, type X, alpha subunit
LPXC_PSEAE	5664312	Pseudomonas aeruginosa	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
PAK6_HUMAN	793010	Homo sapiens	p21 protein (Cdc42/Rac)-activated kinase 6
LMCPB_LEIME	6792791	Leishmania mexicana	Cysteine proteinase B
SHH_MOUSE	468060	Mus musculus	sonic hedgehog
LPAR1_RAT	395935	Rattus norvegicus	lysophosphatidic acid receptor 1
